FUM-IDS
FUN-ADS
FUL-IDS
FUR-ADS
VUN-IDS
VUM-ADS
VUR-IDS
VUL-ADS
SIM-IDS
SIN-ADS
SIL-IDS
SIR-ADS
ZIN-IDS
ZIM-ADS
ZIR-IDS
ZIL-ADS
POM-IDS
PON-ADS
POL-IDS
POR-ADS
BON-IDS
BOM-ADS
BOR-IDS
BOL-ADS
TEM-IDS
TEN-ADS
TEL-IDS
TER-ADS
DEM-IDS
DEN-ADS
DEL-IDS
DER-ADS
PUM-ADS
PUL-ADS
BUN-ADS
BUR-ADS
FOM-ADS
FOL-ADS
VON-ADS
VOR-ADS
TIM-ADS
TIL-ADS
DIN-ADS
DIR-ADS
SEM-ADS
SEL-ADS
ZEN-ADS
ZER-ADS
FIM-IDS
FIL-IDS
VIN-IDS
VIR-IDS
PEM-IDS
PEL-IDS
BEN-IDS
BER-IDS
SUM-IDS
SUL-IDS
ZUN-IDS
ZUR-IDS
TOM-IDS
TOL-IDS
DON-IDS
DOR-IDS
