PUM-IDS
PUN-ADS
PUL-IDS
PUR-ADS
BUM-IDS
BUN-ADS
BUR-IDS
BUL-ADS
TIR-IDS
TIM-ADS
TIL-IDS
TIN-ADS
DIN-IDS
DIM-ADS
DIR-IDS
DIL-ADS
FON-IDS
FOM-ADS
FOL-IDS
FOR-ADS
VOM-IDS
VOR-ADS
VON-IDS
VOL-ADS
SEM-IDS
SEN-ADS
SEL-IDS
SER-ADS
ZEM-IDS
ZEN-ADS
ZER-IDS
ZEL-ADS
PIM-IDS
PIL-IDS
BIN-IDS
BIR-IDS
TUM-IDS
TUL-IDS
DUN-IDS
DUR-IDS
FEM-IDS
FEL-IDS
VEN-IDS
VER-IDS
SOM-IDS
SOL-IDS
ZON-IDS
ZOR-IDS
FUM-ADS
FUL-ADS
VUN-ADS
VUR-ADS
SIM-ADS
SIL-ADS
ZIN-ADS
ZIR-ADS
POM-ADS
POL-ADS
BON-ADS
BOR-ADS
TEM-ADS
TEL-ADS
DEN-ADS
DER-ADS
